0,New York Knicks,104,Atlanta Hawks,121,1980
1,Houston Rockets,106,Boston Celtics,114,1980
2,Indiana Pacers,105,Detroit Pistons,114,1980
3,Milwaukee Bucks,103,Kansas City Kings,105,1980
4,Cleveland Cavaliers,95,New Jersey Nets,102,1980
5,Golden State Warriors,89,Phoenix Suns,97,1980
6,Utah Jazz,85,Portland Trail Blazers,101,1980
7,Los Angeles Lakers,103,San Diego Clippers,102,1980
8,Philadelphia 76ers,93,Washington Bullets,92,1980
9,Boston Celtics,139,Cleveland Cavaliers,117,1980
10,Milwaukee Bucks,125,Denver Nuggets,96,1980
11,Chicago Bulls,102,Golden State Warriors,96,1980
12,Atlanta Hawks,101,Indiana Pacers,115,1980
13,Washington Bullets,118,New York Knicks,125,1980
14,Houston Rockets,105,Philadelphia 76ers,113,1980
15,Detroit Pistons,112,San Antonio Spurs,110,1980
16,Chicago Bulls,102,Phoenix Suns,112,1980
17,Denver Nuggets,93,Portland Trail Blazers,109,1980
18,Seattle SuperSonics,93,San Diego Clippers,98,1980
19,Milwaukee Bucks,131,Utah Jazz,107,1980
20,San Antonio Spurs,118,Atlanta Hawks,116,1980
21,Detroit Pistons,117,Cleveland Cavaliers,137,1980
22,Golden State Warriors,108,Denver Nuggets,106,1980
23,New Jersey Nets,100,Indiana Pacers,113,1980
24,Chicago Bulls,96,Los Angeles Lakers,105,1980
25,Houston Rockets,121,New York Knicks,126,1980
26,Seattle SuperSonics,86,Phoenix Suns,102,1980
27,San Diego Clippers,81,Portland Trail Blazers,88,1980
28,Cleveland Cavaliers,108,Boston Celtics,127,1980
29,Indiana Pacers,112,Houston Rockets,116,1980
30,Golden State Warriors,107,Kansas City Kings,94,1980
31,Denver Nuggets,97,Milwaukee Bucks,125,1980
32,Philadelphia 76ers,113,New Jersey Nets,88,1980
33,Los Angeles Lakers,110,Seattle SuperSonics,112,1980
34,Atlanta Hawks,97,Washington Bullets,100,1980
35,Indiana Pacers,85,Atlanta Hawks,115,1980
36,San Antonio Spurs,134,Cleveland Cavaliers,141,1980
37,New York Knicks,115,Detroit Pistons,129,1980
38,Chicago Bulls,107,San Diego Clippers,111,1980
39,Portland Trail Blazers,107,Utah Jazz,92,1980
40,Washington Bullets,93,Boston Celtics,130,1980
41,Kansas City Kings,107,Denver Nuggets,84,1980
42,Portland Trail Blazers,99,Los Angeles Lakers,82,1980
43,Phoenix Suns,94,Milwaukee Bucks,95,1980
